task_id,run_id,parent_task_id,agent_id,agent_role,section,phase,retry_count,status,payload,result,error_message,created_at,started_at,finished_at
ae6f8a769db14836,9d2e7d0f3326,,33,collector,政治经济,material.collect,0,completed,"{""target_count"": 12}","{""status"": ""collected"", ""source_count"": 16}",,2026-04-06T07:58:12.916763+00:00,2026-04-06T07:58:13.204739+00:00,2026-04-06T07:58:16.588504+00:00
c27a46e2a5a44441,9d2e7d0f3326,ae6f8a769db14836,33,collector,政治经济,material.submit,0,completed,{},"{""status"": ""submitted"", ""source_count"": 16}",,2026-04-06T07:58:12.928493+00:00,2026-04-06T07:58:16.597055+00:00,2026-04-06T07:58:16.613616+00:00
c4f20b584e6e415f,9d2e7d0f3326,,33,collector,科技,material.collect,0,completed,"{""target_count"": 12}","{""status"": ""collected"", ""source_count"": 14}",,2026-04-06T07:58:12.943374+00:00,2026-04-06T07:58:16.622660+00:00,2026-04-06T07:58:19.263638+00:00
d8e05b154a364149,9d2e7d0f3326,c4f20b584e6e415f,33,collector,科技,material.submit,0,completed,{},"{""status"": ""submitted"", ""source_count"": 14}",,2026-04-06T07:58:12.955950+00:00,2026-04-06T07:58:19.272524+00:00,2026-04-06T07:58:19.293047+00:00
0d31dac20b5f4b5f,9d2e7d0f3326,,xhs,collector,体育娱乐,material.collect,0,completed,"{""target_count"": 12}","{""status"": ""collected"", ""source_count"": 16}",,2026-04-06T07:58:12.971080+00:00,2026-04-06T07:58:13.187984+00:00,2026-04-06T07:58:15.721540+00:00
031a1ac4d93f43de,9d2e7d0f3326,0d31dac20b5f4b5f,xhs,collector,体育娱乐,material.submit,0,completed,{},"{""status"": ""submitted"", ""source_count"": 16}",,2026-04-06T07:58:12.983189+00:00,2026-04-06T07:58:15.730216+00:00,2026-04-06T07:58:15.751265+00:00
0f85b63862cc4ad7,9d2e7d0f3326,,xhs,collector,其他,material.collect,0,completed,"{""target_count"": 12}","{""status"": ""collected"", ""source_count"": 6}",,2026-04-06T07:58:12.996590+00:00,2026-04-06T07:58:15.760691+00:00,2026-04-06T07:58:16.667692+00:00
8164e5ca52494484,9d2e7d0f3326,0f85b63862cc4ad7,xhs,collector,其他,material.submit,0,completed,{},"{""status"": ""submitted"", ""source_count"": 6}",,2026-04-06T07:58:13.006021+00:00,2026-04-06T07:58:16.676133+00:00,2026-04-06T07:58:16.692861+00:00
0d0741bd21f74c85,9d2e7d0f3326,ae6f8a769db14836,neko,manager,政治经济,material.review,0,completed,{},"{""forced"": true, ""reason"": ""测试覆盖：受控触发一次打回重做，请补充更强热点和更稳定图片来源。"", ""status"": ""rejected"", ""approved"": false, ""selected_material_ids"": [17, 18, 19, 20, 21, 22, 23, 24, 25, 26]}",,2026-04-06T07:58:17.497734+00:00,2026-04-06T07:58:19.174173+00:00,2026-04-06T07:58:19.223373+00:00
ab4dcb935dc44baa,9d2e7d0f3326,0d31dac20b5f4b5f,neko,manager,体育娱乐,material.review,0,completed,{},"{""forced"": false, ""reason"": ""审核通过。"", ""status"": ""approved"", ""approved"": true, ""selected_material_ids"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}",,2026-04-06T07:58:17.539370+00:00,2026-04-06T07:58:19.232620+00:00,2026-04-06T07:58:19.272010+00:00
6b8b4074d14347d2,9d2e7d0f3326,0f85b63862cc4ad7,neko,manager,其他,material.review,0,completed,{},"{""forced"": false, ""reason"": ""素材不足：候选 6 条，带图 4 条，未满足至少 10 条且至少 3 条带图。"", ""status"": ""rejected"", ""approved"": false, ""selected_material_ids"": [33, 34, 35, 36, 37, 38]}",,2026-04-06T07:58:17.572473+00:00,2026-04-06T07:58:19.281519+00:00,2026-04-06T07:58:19.319660+00:00
0328fb0222714d48,9d2e7d0f3326,c4f20b584e6e415f,neko,manager,科技,material.review,0,completed,{},"{""forced"": false, ""reason"": ""审核通过。"", ""status"": ""approved"", ""approved"": true, ""selected_material_ids"": [39, 40, 41, 42, 43, 44, 45, 46, 47, 48]}",,2026-04-06T07:58:20.732403+00:00,2026-04-06T07:58:21.337281+00:00,2026-04-06T07:58:21.373474+00:00
3818e023650642e3,9d2e7d0f3326,,33,collector,政治经济,material.collect,1,completed,"{""target_count"": 12, ""rework_reason"": ""测试覆盖：受控触发一次打回重做，请补充更强热点和更稳定图片来源。""}","{""status"": ""collected"", ""source_count"": 16}",,2026-04-06T07:58:20.810992+00:00,2026-04-06T07:58:21.311893+00:00,2026-04-06T07:58:23.987550+00:00
83cf395e9fe046ae,9d2e7d0f3326,3818e023650642e3,33,collector,政治经济,material.submit,1,completed,{},"{""status"": ""submitted"", ""source_count"": 32}",,2026-04-06T07:58:20.819177+00:00,2026-04-06T07:58:23.997659+00:00,2026-04-06T07:58:24.015260+00:00
fe3c14f54a354721,9d2e7d0f3326,,xhs,collector,其他,material.collect,1,completed,"{""target_count"": 12, ""rework_reason"": ""素材不足：候选 6 条，带图 4 条，未满足至少 10 条且至少 3 条带图。""}","{""status"": ""collected"", ""source_count"": 6}",,2026-04-06T07:58:20.873839+00:00,2026-04-06T07:58:22.726575+00:00,2026-04-06T07:58:23.454962+00:00
4a975a4bdf264f47,9d2e7d0f3326,fe3c14f54a354721,xhs,collector,其他,material.submit,1,completed,{},"{""status"": ""submitted"", ""source_count"": 12}",,2026-04-06T07:58:20.882449+00:00,2026-04-06T07:58:23.463355+00:00,2026-04-06T07:58:23.483828+00:00
b2b867a2bba04ef2,9d2e7d0f3326,fe3c14f54a354721,neko,manager,其他,material.review,1,completed,{},"{""forced"": false, ""reason"": ""审核通过。"", ""status"": ""approved"", ""approved"": true, ""selected_material_ids"": [33, 53, 34, 54, 35, 55, 36, 56, 37, 57]}",,2026-04-06T07:58:24.040979+00:00,2026-04-06T07:58:25.404051+00:00,2026-04-06T07:58:25.439017+00:00
f005f29bdac9491d,9d2e7d0f3326,,33,collector,政治经济,material.collect,2,completed,"{""target_count"": 12, ""rework_reason"": ""测试覆盖：受控触发一次打回重做，请补充更强热点和更稳定图片来源。""}","{""status"": ""collected"", ""source_count"": 16}",,2026-04-06T07:58:24.080007+00:00,2026-04-06T07:58:26.034124+00:00,2026-04-06T07:58:29.004296+00:00
6e4847bd479245c1,9d2e7d0f3326,f005f29bdac9491d,33,collector,政治经济,material.submit,2,completed,{},"{""status"": ""submitted"", ""source_count"": 48}",,2026-04-06T07:58:24.088536+00:00,2026-04-06T07:58:29.012613+00:00,2026-04-06T07:58:29.029171+00:00
50de4a09d0ab486b,9d2e7d0f3326,,xhs,collector,其他,material.collect,2,completed,"{""target_count"": 12, ""rework_reason"": ""素材不足：候选 6 条，带图 4 条，未满足至少 10 条且至少 3 条带图。""}","{""status"": ""collected"", ""source_count"": 6}",,2026-04-06T07:58:24.143653+00:00,2026-04-06T07:58:25.501312+00:00,2026-04-06T07:58:26.072576+00:00
0bed4c5d48cc4a7c,9d2e7d0f3326,50de4a09d0ab486b,xhs,collector,其他,material.submit,2,completed,{},"{""status"": ""submitted"", ""source_count"": 18}",,2026-04-06T07:58:24.151950+00:00,2026-04-06T07:58:26.080809+00:00,2026-04-06T07:58:26.098430+00:00
8ec794557a754f8e,9d2e7d0f3326,3818e023650642e3,neko,manager,政治经济,material.review,1,completed,{},"{""forced"": false, ""reason"": ""审核通过。"", ""status"": ""approved"", ""approved"": true, ""selected_material_ids"": [17, 59, 60, 18, 61, 19, 62, 20, 63, 21]}",,2026-04-06T07:58:27.254358+00:00,2026-04-06T07:58:27.459474+00:00,2026-04-06T07:58:27.498091+00:00
4d17a85bb0ed49d4,9d2e7d0f3326,50de4a09d0ab486b,neko,manager,其他,material.review,2,completed,{},"{""forced"": false, ""reason"": ""审核通过。"", ""status"": ""approved"", ""approved"": true, ""selected_material_ids"": [53, 33, 75, 54, 34, 76, 55, 35, 77, 56]}",,2026-04-06T07:58:27.317237+00:00,2026-04-06T07:58:27.507631+00:00,2026-04-06T07:58:27.543508+00:00
a41c2b953dbf4989,9d2e7d0f3326,,33,collector,政治经济,material.collect,3,completed,"{""target_count"": 12, ""rework_reason"": ""测试覆盖：受控触发一次打回重做，请补充更强热点和更稳定图片来源。""}","{""status"": ""collected"", ""source_count"": 16}",,2026-04-06T07:58:27.357041+00:00,2026-04-06T07:58:29.037577+00:00,2026-04-06T07:58:31.603991+00:00
eee697cbb12f402d,9d2e7d0f3326,a41c2b953dbf4989,33,collector,政治经济,material.submit,3,completed,{},"{""status"": ""submitted"", ""source_count"": 64}",,2026-04-06T07:58:27.365488+00:00,2026-04-06T07:58:31.614468+00:00,2026-04-06T07:58:31.632914+00:00
