id,run_id,task_id,section,source_agent,title,source_media,published_at,link,images,summary_zh,brief_zh,is_primary_candidate,metadata,created_at
388,2c8e82d46332,3bda1ce234ce4010,政治经济,33,"A Hidden Russian Hand in Hungary’s Election? Actually, It’s Quite Open.",NYT > World News,2026-04-06T09:04:32+00:00,https://www.nytimes.com/2026/04/06/world/europe/viktor-orban-hungary-election-russia.html,[],,,False,"{""summary_en"": ""Prime Minister Viktor Orban has made hostility to Ukraine a centerpiece of his campaign. Moscow seems determined to repay the favor.""}",2026-04-06T09:09:22.840085+00:00
351,2c8e82d46332,1f42e33da2214627,政治经济,33,"A Hidden Russian Hand in Hungary’s Election? Actually, It’s Quite Open.",NYT > World News,2026-04-06T09:04:32+00:00,https://www.nytimes.com/2026/04/06/world/europe/viktor-orban-hungary-election-russia.html,[],,,False,"{""summary_en"": ""Prime Minister Viktor Orban has made hostility to Ukraine a centerpiece of his campaign. Moscow seems determined to repay the favor.""}",2026-04-06T09:09:14.782631+00:00
404,2c8e82d46332,b59d853e35004066,其他,xhs,"NASA Families Don’t Go to the Moon, but They’re on the Mission, Too",NYT > Science,2026-04-06T09:01:56+00:00,https://www.nytimes.com/2026/04/06/science/artemis-moon-nasa-families-astronauts.html,[],,,False,"{""summary_en"": ""For the families of the Artemis II astronauts, the mission “begins at assignment.”""}",2026-04-06T09:09:22.932744+00:00
367,2c8e82d46332,189003ad89db4d8a,其他,xhs,"NASA Families Don’t Go to the Moon, but They’re on the Mission, Too",NYT > Science,2026-04-06T09:01:56+00:00,https://www.nytimes.com/2026/04/06/science/artemis-moon-nasa-families-astronauts.html,[],,,False,"{""summary_en"": ""For the families of the Artemis II astronauts, the mission “begins at assignment.”""}",2026-04-06T09:09:16.012906+00:00
405,2c8e82d46332,b59d853e35004066,其他,xhs,NASA Artemis II Astronauts Race Into Moon’s Embrace After Quiet Easter,NYT > Science,2026-04-06T09:01:55+00:00,https://www.nytimes.com/2026/04/05/science/nasa-moon-artemis-day-5.html,[],,,False,"{""summary_en"": ""Ahead of a lunar flyby on Monday, the crew celebrated the astronaut Jeremy Hansen’s first spaceflight and got a special message from Charlie Duke, the Apollo 16 moonwalker.""}",2026-04-06T09:09:22.932744+00:00
368,2c8e82d46332,189003ad89db4d8a,其他,xhs,NASA Artemis II Astronauts Race Into Moon’s Embrace After Quiet Easter,NYT > Science,2026-04-06T09:01:55+00:00,https://www.nytimes.com/2026/04/05/science/nasa-moon-artemis-day-5.html,[],,,False,"{""summary_en"": ""Ahead of a lunar flyby on Monday, the crew celebrated the astronaut Jeremy Hansen’s first spaceflight and got a special message from Charlie Duke, the Apollo 16 moonwalker.""}",2026-04-06T09:09:16.012906+00:00
352,2c8e82d46332,1f42e33da2214627,政治经济,33,Why Trees Are Key to Russia’s Spring Offensive in Ukraine,NYT > World News,2026-04-06T09:01:31+00:00,https://www.nytimes.com/2026/04/06/world/europe/ukraine-russia-war-spring-foliage.html,[],,,False,"{""summary_en"": ""In the age of drone warfare, Russia is expected to exploit the return of vegetation to help conceal its troops.""}",2026-04-06T09:09:14.782631+00:00
389,2c8e82d46332,3bda1ce234ce4010,政治经济,33,Why Trees Are Key to Russia’s Spring Offensive in Ukraine,NYT > World News,2026-04-06T09:01:31+00:00,https://www.nytimes.com/2026/04/06/world/europe/ukraine-russia-war-spring-foliage.html,[],,,False,"{""summary_en"": ""In the age of drone warfare, Russia is expected to exploit the return of vegetation to help conceal its troops.""}",2026-04-06T09:09:22.840085+00:00
390,2c8e82d46332,3bda1ce234ce4010,政治经济,33,Epstein in Paris: How a Sex Offender Hustled for Access to France’s Elite,NYT > World News,2026-04-06T09:00:45+00:00,https://www.nytimes.com/2026/04/06/world/europe/epstein-paris-france-elite-lang.html,[],,,False,"{""summary_en"": ""Jeffrey Epstein spent his last days of freedom in Paris, meeting with influential figures. It was a playbook he used everywhere he lived to stamp a veneer of respectability on a life of sordid criminality.""}",2026-04-06T09:09:22.840085+00:00
353,2c8e82d46332,1f42e33da2214627,政治经济,33,Epstein in Paris: How a Sex Offender Hustled for Access to France’s Elite,NYT > World News,2026-04-06T09:00:45+00:00,https://www.nytimes.com/2026/04/06/world/europe/epstein-paris-france-elite-lang.html,[],,,False,"{""summary_en"": ""Jeffrey Epstein spent his last days of freedom in Paris, meeting with influential figures. It was a playbook he used everywhere he lived to stamp a veneer of respectability on a life of sordid criminality.""}",2026-04-06T09:09:14.782631+00:00
